time,follower
2022-07-27 11:50:30,946685
2022-07-27 12:02:35,946733
2022-07-27 12:15:02,946771
2022-07-27 12:27:49,946814
2022-07-27 12:39:34,946864
2022-07-27 12:52:06,946923
2022-07-27 13:03:29,946967
2022-07-27 13:10:01,947012
2022-07-27 13:21:55,947061
2022-07-27 13:34:03,947103
2022-07-27 13:45:30,947146
2022-07-27 13:56:48,947186
2022-07-27 14:13:45,947240
2022-07-27 14:25:28,947288
2022-07-27 14:37:02,947332
2022-07-27 14:48:34,947372
2022-07-27 14:59:46,947413
2022-07-27 15:11:00,947449
2022-07-27 15:27:44,947505
2022-07-27 15:38:59,947546
2022-07-27 15:50:17,947595
2022-07-27 16:01:36,947638
2022-07-27 16:13:20,947682
2022-07-27 16:24:24,947732
2022-07-27 16:35:24,947772
2022-07-27 16:52:35,947834
2022-07-27 17:09:15,947883
2022-07-27 17:25:55,947938
2022-07-27 17:36:26,947974
2022-07-27 17:48:14,948017
2022-07-27 18:00:44,948069
2022-07-27 18:12:52,948118
2022-07-27 18:23:28,948161
2022-07-27 18:39:40,948217
2022-07-27 18:56:07,948270
2022-07-27 19:11:47,948334
2022-07-27 19:21:40,948384
2022-07-27 19:31:36,948428
2022-07-27 19:46:19,948481
2022-07-27 19:56:07,948526
2022-07-27 20:06:22,948563
2022-07-27 20:11:11,948599
2022-07-27 20:21:06,948661
2022-07-27 20:31:34,948729
2022-07-27 20:36:01,948802
2022-07-27 20:41:08,948902
2022-07-27 20:46:04,948992
2022-07-27 20:51:01,949066
2022-07-27 20:56:00,949175
2022-07-27 21:01:02,949329
2022-07-27 21:06:07,949583
2022-07-27 21:11:05,949821
2022-07-27 21:16:02,950000
2022-07-27 21:26:03,950113
2022-07-27 21:30:58,950180
2022-07-27 21:36:03,950234
2022-07-27 21:41:02,950307
2022-07-27 21:46:10,950396
2022-07-27 21:51:06,950488
2022-07-27 21:56:17,950543
2022-07-27 22:01:33,950611
2022-07-27 22:06:33,950677
2022-07-27 22:11:12,950733
2022-07-27 22:16:26,950787
2022-07-27 22:21:23,950861
2022-07-27 22:26:21,950917
2022-07-27 22:31:23,950987
2022-07-27 22:36:29,951023
2022-07-27 22:46:36,951072
2022-07-27 22:56:21,951108
2022-07-27 23:11:20,951156
2022-07-27 23:26:30,951206
2022-07-27 23:41:44,951252
2022-07-27 23:56:58,951305
2022-07-28 00:12:29,951347
2022-07-28 00:28:41,951384
2022-07-28 00:45:55,951427
2022-07-28 01:08:58,951469
2022-07-28 01:32:07,951506
2022-07-28 02:02:54,951547
2022-07-28 02:32:20,951589
2022-07-28 03:08:23,951633
2022-07-28 04:02:15,951672
2022-07-28 09:39:05,951953
2022-07-28 09:56:09,952004
2022-07-28 10:07:30,952057
2022-07-28 10:24:10,952105
2022-07-28 10:35:46,952154
2022-07-28 10:47:06,952199
2022-07-28 11:03:52,952249
2022-07-28 11:15:10,952288
2022-07-28 11:31:24,952337
2022-07-28 11:48:57,952383
2022-07-28 12:00:25,952429
2022-07-28 12:16:33,952478
2022-07-28 12:33:17,952525
2022-07-28 12:44:02,952567
2022-07-28 12:54:30,952603
2022-07-28 13:10:28,952657
2022-07-28 13:21:33,952698
2022-07-28 13:33:43,952766
2022-07-28 13:44:30,952811
2022-07-28 14:00:18,952862
2022-07-28 14:11:06,952908
2022-07-28 14:22:08,952952
2022-07-28 14:38:05,953006
2022-07-28 14:54:35,953054
2022-07-28 15:11:17,953106
2022-07-28 15:22:55,953150
2022-07-28 15:41:13,953197
2022-07-28 16:00:15,953254
2022-07-28 16:12:57,953297
2022-07-28 16:24:36,953345
2022-07-28 16:35:42,953385
2022-07-28 16:46:37,953430
2022-07-28 16:58:22,953483
2022-07-28 17:09:47,953522
2022-07-28 17:21:30,953558
2022-07-28 17:32:43,953598
2022-07-28 17:43:16,953635
2022-07-28 17:58:52,953684
2022-07-28 18:14:57,953744
2022-07-28 18:30:53,953781
2022-07-28 18:47:21,953839
2022-07-28 18:58:26,953885
2022-07-28 19:09:53,953938
2022-07-28 19:20:35,953987
2022-07-28 19:31:08,954024
2022-07-28 19:41:08,954065
2022-07-28 19:51:15,954107
2022-07-28 20:00:54,954152
2022-07-28 20:06:03,954242
2022-07-28 20:11:04,954318
2022-07-28 20:15:51,954387
2022-07-28 20:21:31,954453
2022-07-28 20:26:44,954513
2022-07-28 20:31:51,954571
2022-07-28 20:37:03,954627
2022-07-28 20:41:57,954671
2022-07-28 20:46:56,954721
2022-07-28 20:52:03,954777
2022-07-28 20:57:05,954833
2022-07-28 21:02:01,954890
2022-07-28 21:07:14,954949
2022-07-28 21:12:20,955006
2022-07-28 21:17:10,955056
2022-07-28 21:22:13,955112
2022-07-28 21:27:06,955168
2022-07-28 21:32:04,955226
2022-07-28 21:38:07,955286
2022-07-28 21:43:16,955340
2022-07-28 21:48:19,955397
2022-07-28 21:53:45,955453
2022-07-28 21:58:57,955510
2022-07-28 22:04:20,955595
2022-07-28 22:09:34,955679
2022-07-28 22:19:42,955738
2022-07-28 22:29:49,955791
2022-07-28 22:40:01,955831
2022-07-28 22:55:22,955888
2022-07-28 23:11:38,955942
2022-07-28 23:26:33,955978
2022-07-28 23:42:09,956017
2022-07-28 23:58:26,956069
2022-07-29 00:14:30,956109
2022-07-29 00:31:39,956148
2022-07-29 00:51:44,956191
2022-07-29 01:14:57,956240
2022-07-29 01:48:17,956287
2022-07-29 02:17:14,956333
2022-07-29 02:55:41,956376
2022-07-29 03:44:46,956412
2022-07-29 05:11:17,956448
2022-07-29 06:58:26,956486
2022-07-29 07:51:20,956525
2022-07-29 08:28:11,956561
2022-07-29 08:49:01,956599
2022-07-29 09:08:14,956645
2022-07-29 09:27:43,956687
2022-07-29 09:45:16,956732
2022-07-29 10:02:41,956784
2022-07-29 10:19:33,956825
2022-07-29 10:42:04,956869
2022-07-29 10:54:22,956909
2022-07-29 11:12:48,956953
2022-07-29 11:24:25,956995
2022-07-29 11:34:56,957042
2022-07-29 11:45:41,957082
2022-07-29 11:56:24,957124
2022-07-29 12:07:20,957166
2022-07-29 12:23:24,957217
2022-07-29 12:38:59,957275
2022-07-29 12:49:04,957311
2022-07-29 13:00:40,957352
2022-07-29 13:18:42,957389
2022-07-29 13:34:31,957450
2022-07-29 13:44:51,957497
2022-07-29 13:55:21,957536
2022-07-29 14:05:58,957581
2022-07-29 14:16:31,957625
2022-07-29 14:27:23,957673
2022-07-29 14:38:16,957711
2022-07-29 14:53:52,957748
2022-07-29 15:09:07,957793
2022-07-29 15:24:07,957845
2022-07-29 15:39:19,957898
2022-07-29 15:49:52,957950
2022-07-29 16:00:50,957998
2022-07-29 16:12:22,958041
2022-07-29 16:23:15,958078
2022-07-29 16:34:02,958127
2022-07-29 16:50:01,958185
2022-07-29 17:00:58,958223
2022-07-29 17:11:31,958271
2022-07-29 17:22:31,958317
2022-07-29 17:33:50,958367
2022-07-29 17:44:14,958409
2022-07-29 17:59:34,958467
2022-07-29 18:14:56,958519
2022-07-29 18:30:23,958573
2022-07-29 18:40:11,958613
2022-07-29 18:50:12,958651
2022-07-29 19:00:45,958689
2022-07-29 19:11:31,958732
2022-07-29 19:26:31,958782
2022-07-29 19:36:33,958835
2022-07-29 19:46:54,958894
2022-07-29 19:56:54,958936
2022-07-29 20:07:02,958985
2022-07-29 20:17:01,959043
2022-07-29 20:27:05,959087
2022-07-29 20:31:57,959130
2022-07-29 20:36:56,959196
2022-07-29 20:41:59,959255
2022-07-29 20:47:00,959318
2022-07-29 20:51:53,959376
2022-07-29 20:57:01,959432
2022-07-29 21:02:02,959495
2022-07-29 21:07:00,959544
